Designator,Mid X,Mid Y,Layer,Rotation
C1,70.10, 5.00,Top,90.0
C2,88.10, 4.80,Top,90.0
C3,95.90,82.50,Top,270.0
C4,76.50,92.30,Top,180.0
C5,98.00,82.50,Top,270.0
C6,95.70,50.10,Top,90.0
C7,97.80,50.10,Top,90.0
C8,97.90,14.30,Top,90.0
C9,95.70,14.30,Top,90.0
C10,80.80,96.00,Top,90.0
C11,80.80,92.90,Top,270.0
C12,72.40,92.80,Top,270.0
C13,72.40,95.90,Top,90.0
C14,73.50,73.10,Top,270.0
C15,75.60,73.10,Top,270.0
D1,88.90,47.00,Top,180.0
D3,78.60, 3.30,Top,270.0
D4,80.70, 3.30,Top,270.0
D5,82.80, 3.30,Top,270.0
D6,76.50, 3.30,Top,270.0
IC3,76.60,95.20,Top,0.0
R1,93.00,27.50,Top,270.0
R2,88.00,27.40,Top,270.0
R3,93.00,24.40,Top,270.0
R4,44.40,67.70,Top,180.0
R5,83.90,95.50,Top,0.0
R6,83.90,93.40,Top,0.0
R7,69.30,93.30,Top,180.0
R8,69.30,95.40,Top,180.0
R9,88.50,93.40,Top,0.0
R10,45.30,65.20,Top,0.0
R11,88.50,95.50,Top,0.0
R12,86.30,97.70,Top,0.0
R13,93.00,30.60,Top,270.0
R14,78.65,22.80,Top,180.0
R15,40.80,69.20,Top,90.0
R16,39.30,72.80,Top,180.0
R17,35.70,74.30,Top,90.0
R18,35.70,79.40,Top,90.0
R19,35.70,84.50,Top,90.0
R20,35.70,89.60,Top,90.0
R21,34.20,93.20,Top,180.0
R22,31.40,95.30,Top,180.0
R23,28.50,97.50,Top,180.0
R24,46.00,71.30,Top,270.0
R25,78.65,25.40,Top,180.0
R26,78.65,27.90,Top,180.0
R27,78.65,20.30,Top,180.0
R28,88.00,30.50,Top,270.0
R29,88.00,24.20,Top,270.0
T1,90.50,30.60,Top,270.0
T2,90.50,27.50,Top,270.0
T3,90.50,24.30,Top,270.0
